Title,Link,Grade,Contact,Points,Description,Cost,Type,Standards Connections,Tracks
"All The Water In the World","https://www.gscm.refloh2o.com/s/WWL_AlltheWaterLP.pdf","PreK-2",,"10","Lesson plans and a reading list to orient young children to our world’s water supply and what it means to be a scientist.",,"Curriculum",,"Conservation"
"Aquatic Ecology & Habitat Hotels Lesson Plan","","4-6","[Natalia Hernandez](mailto:natalia@harbordistrict.org)","50/class","The 3-day lesson plan covers habitats and food webs all within a local context. On the second day students present a solution to a man-made problem. On the third day students are bused to UWM's School of Freshwater Sciences, learn about Habitat Hotels, and meet with freshwater scientists.","covered by Harbor District, Inc.","Field Trip",,"Lakes, Rivers"
"Aquatic Ecology & Habitat Hotels Lesson Plan","","4-6","[Natalia Hernandez](mailto:natalia@harbordistrict.org)","50/class","The 3-day lesson plan covers habitats and food webs all within a local context. On the second day students present a solution to a man-made problem. On the third day students are bused to UWM's School of Freshwater Sciences, learn about Habitat Hotels, and meet with freshwater scientists.","covered by Harbor District, Inc.","Classroom Presentation",,"Lakes, Rivers"
"Aquatic Ecology & Habitat Hotels Lesson Plan","","4-6","[Natalia Hernandez](mailto:natalia@harbordistrict.org)","50/class","The 3-day lesson plan covers habitats and food webs all within a local context. On the second day students present a solution to a man-made problem. On the third day students are bused to UWM's School of Freshwater Sciences, learn about Habitat Hotels, and meet with freshwater scientists.","covered by Harbor District, Inc.","Field Trip",,"Lakes, Rivers"
"Aquatic Ecology & Habitat Hotels Lesson Plan","","4-6","[Natalia Hernandez](mailto:natalia@harbordistrict.org)","50/class","The 3-day lesson plan covers habitats and food webs all within a local context. On the second day students present a solution to a man-made problem. On the third day students are bused to UWM's School of Freshwater Sciences, learn about Habitat Hotels, and meet with freshwater scientists.","covered by Harbor District, Inc.","Classroom Presentation",,"Lakes, Rivers"
"Aquatic Invaders Attack Pack","https://www.gscm.refloh2o.com/s/AIAPguide_2018.pdf","4-10",,"20/class","The Attack Pack is a rucksack filled with materials to help students and other groups learn about Great Lakes aquatic invasive species, the problems they cause and what can be done about them. [Borrow a pack](https://waterlibrary.aqua.wisc.edu/for-parents-and-teachers-and-librarians/curriculum-ideas/) from the Wisconsin Water Library!",,"Curriculum","NGSS and Great Lakes Literacy Principles (pg 7)","Lakes, Water Cycle & Quality"
"Aquatic Invaders Attack Pack","https://gscmreflo.squarespace.com/s/AIAPguide_2018.pdf","4-10",,"20/class","The Attack Pack is a rucksack filled with materials to help students and other groups learn about Great Lakes aquatic invasive species, the problems they cause and what can be done about them. Borrow a pack from the Wisconsin Water Library!",,"Curriculum","NGSS and Great Lakes Literacy Principles (pg 7)","Lakes, Water Cycle & Quality"
"Bottled Water vs Tap Water Documentary","https://youtu.be/ALmHd5CnlVA","4-7",,"20/class","This 19 minute documentary makes the case for choosing to drink tap water over bottled water.",,"Classroom Presentation",,"Conservation"
"Bottled Water vs Tap Water Documentary","https://youtu.be/ALmHd5CnlVA","4-7",,"20/class","This 19 minute documentary makes the case for choosing to drink tap water over bottled water.",,"Classroom Presentation",,"Conservation"
"Center for Great Lakes Literacy Curriculum ","http://www.cgll.org/curriculum/","PreK-12",,"10/lesson","The CGLL website has dozens of searchable curricular resources all about the Great Lakes.",,"Curriculum","Each lesson plan is connected to NGSS, Common Core and Great Lakes Literacy Principles","Lakes, Watersheds, Water Cycle & Quality"
